RHC,SA,GA,MIMIC
101,118,105,112
101,118,105,115
102,119,106,114
94,117,101,115
100,119,105,111
94,119,102,115
97,118,104,112
93,119,104,113
99,119,101,113
99,119,97,112
93,118,106,114
96,118,108,115
105,119,100,112
97,119,108,112
98,118,102,113
101,118,102,112
96,118,98,112
99,119,104,114
100,119,98,116
103,119,108,112
99,118,103,112
97,118,99,115
104,118,100,115
100,119,106,111
94,119,106,113
101,119,103,113
108,118,105,110
96,119,108,114
94,119,103,116
103,118,107,113
93,118,103,112
100,119,106,114
97,119,102,117
100,119,103,111
98,118,107,109
95,119,98,112
94,119,107,116
101,118,104,113
97,118,104,115
101,119,101,112
94,118,111,110
95,119,105,114
103,119,103,112
100,118,101,111
97,118,100,113
99,118,102,113
95,118,106,111
98,118,106,112
97,118,98,114
97,119,107,112